# JARVIS Second Capability Matrix (CSV)

Generated: July 19, 2026 18:24

Category,Capability,Source File,Entry Function,GUI Connection,Voice Connection,Typed Connection,Router Skill,Planner Action,Dependency,External Software,Account Requirement,Test Evidence,Live Evidence,Packaged Result,Known Error,Final Classification,Next Action
System,Config loading,config.py,load_dotenv,N/A,N/A,N/A,N/A,N/A,python-dotenv,None,None,None,Code inspection,,WORKING IN PACKAGED BUILD,
System,Settings store,core/settings.py,SettingsStore,YES,N/A,N/A,N/A,N/A,None,None,None,5 tests pass,Code inspection,,CONNECTED BUT NOT LIVE VERIFIED,Live test needed
System,Settings window,gui/settings_window.py,SettingsWindow,YES,N/A,N/A,N/A,N/A,PySide6,None,None,None,Code inspection,,CONNECTED BUT NOT LIVE VERIFIED,Live test needed
System,Multi-path .env loading,config.py,Config,N/A,N/A,N/A,N/A,N/A,python-dotenv,None,None,None,Code inspection,,WORKING IN PACKAGED BUILD,
OpenRouter,LLM.chat(),brain/llm.py,LLM.chat,YES,YES,YES,chat,N/A,openai httpx,None,OpenRouter key,None,Code inspection,,CONNECTED BUT NOT LIVE VERIFIED,Live test needed
OpenRouter,LLM.stream(),brain/llm.py,LLM.stream,YES,NO,YES,N/A,N/A,openai httpx,None,OpenRouter key,None,Code inspection,,CONNECTED BUT NOT LIVE VERIFIED,Live test needed
OpenRouter,LLM.quick(),brain/llm.py,LLM.quick,YES,NO,YES,N/A,N/A,openai httpx,None,OpenRouter key,None,Code inspection,,CONNECTED BUT NOT LIVE VERIFIED,
OpenRouter,LLM.quick_json(),brain/llm.py,LLM.quick_json,NO,NO,YES,N/A,N/A,openai httpx,None,OpenRouter key,None,Code inspection,,CONNECTED BUT NOT LIVE VERIFIED,
OpenRouter,LLM.test_connection(),brain/llm.py,LLM.test_connection,YES,NO,NO,N/A,N/A,openai httpx,None,OpenRouter key,1 test pass,Code inspection,,CONNECTED BUT NOT LIVE VERIFIED,Live test needed
OpenRouter,Error sanitization,brain/llm.py,chat/test_connection,YES,YES,YES,N/A,N/A,openai,None,OpenRouter key,1 test partial,Code inspection,,CONNECTED BUT NOT LIVE VERIFIED,
OpenRouter,Timeout + retry,brain/llm.py,chat,N/A,N/A,N/A,N/A,N/A,httpx,None,None,None,Code inspection,,CONNECTED BUT NOT LIVE VERIFIED,
OpenRouter,Test Connection button,gui/settings_window.py,_on_test_connection,YES,NO,NO,N/A,N/A,PySide6 openai,None,OpenRouter key,None,Code inspection,,CONNECTED BUT NOT LIVE VERIFIED,Live test needed
Router,Qwen classify(),brain/router.py,Router.classify,NO,YES,YES,N/A,N/A,torch transformers,None,None,None,Code inspection,DISABLED,DISABLED
Router,Fast lane regex,brain/router.py,fast_lane,YES,YES,YES,N/A,N/A,None,None,None,40+ tests pass,Code inspection,,WORKING IN PACKAGED BUILD,
Router,Valid skills allowlist,brain/router.py,VALID_SKILLS,N/A,N/A,N/A,N/A,N/A,None,None,None,Code inspection,,WORKING IN PACKAGED BUILD,
Planner,Multi-step plan,core/planner.py,plan_command,YES,YES,YES,N/A,N/A,None,None,None,1 test pass,Code inspection,,CONNECTED BUT NOT LIVE VERIFIED,
Planner,Compound decomposition,core/planner.py,plan_command,NO,YES,YES,N/A,N/A,None,None,None,None,Code inspection,,CONNECTED BUT NOT LIVE VERIFIED,
DesktopAgent,Mouse movement,core/desktop_agent.py,move_to,YES,YES,YES,agent,N/A,pyautogui,None,None,None,Code inspection,,CONNECTED BUT NOT LIVE VERIFIED,Live test needed
DesktopAgent,Click,core/desktop_agent.py,click,YES,YES,YES,agent,N/A,pyautogui,None,None,None,Code inspection,,CONNECTED BUT NOT LIVE VERIFIED,
DesktopAgent,Keyboard typing,core/desktop_agent.py,type_text,YES,YES,YES,agent,N/A,pyautogui,None,None,None,Code inspection,,CONNECTED BUT NOT LIVE VERIFIED,
DesktopAgent,Copy/paste,core/desktop_agent.py,_clipboard,YES,YES,YES,agent,N/A,pyperclip,None,None,1 test pass,Code inspection,,TEST ONLY,Needs live test
DesktopAgent,Screenshot,core/desktop_agent.py,screenshot,YES,YES,YES,agent,N/A,pyautogui,None,None,None,Code inspection,,CONNECTED BUT NOT LIVE VERIFIED,
DesktopAgent,Emergency stop,core/desktop_agent.py,request_stop,YES,YES,YES,agent,N/A,pyautogui,None,None,1 test pass,Log: EMERGENCY STOP,WORKING IN PACKAGED BUILD,Confirmed in logs
DesktopAgent,Confirmation system,core/desktop_agent.py,confirm,NO,NO,NO,agent,N/A,None,None,None,1 test pass,Log: no handler,PARTIALLY WORKING,Fix confirmation routing
DesktopAgent,Stop Task button,gui/main_window.py,_on_stop_task,YES,NO,NO,N/A,N/A,PySide6,None,None,None,Code inspection,,CONNECTED BUT NOT LIVE VERIFIED,
Registry,Register item,core/registry.py,register,YES,YES,YES,app,N/A,None,None,None,None,Code inspection,,CONNECTED BUT NOT LIVE VERIFIED,
Registry,Close by name,core/registry.py,close_by_name,YES,YES,YES,app,N/A,None,None,None,1 test pass,Code inspection,,TEST ONLY,
Registry,Close all,core/registry.py,close_all,YES,YES,YES,app,N/A,None,None,None,1 test pass,Code inspection,,TEST ONLY,
Registry,Close most recent,core/registry.py,close_most_recent,YES,YES,YES,app,N/A,None,None,None,1 test pass,Code inspection,,TEST ONLY,
Registry,GUI panel,gui/main_window.py,_refresh_registry,YES,N/A,N/A,N/A,N/A,PySide6,None,None,4 tests pass,Code inspection,,CONNECTED BUT NOT LIVE VERIFIED,
